Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,New_price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Age,Cost_Efficiency
780,Ford Fiesta 1.4 Duratorq ZXI,Pune,2007,112808,Second,17.8,1399.0,68.0,5.0,4.78 Lakh,2.05,4.78,False,False,True,18,0.11516853932584269
781,Ford Figo Diesel EXI,Coimbatore,2014,74980,First,20.0,1399.0,68.0,5.0,4.78 Lakh,4.08,4.78,False,False,True,11,0.20400000000000001
782,Maruti Celerio VXI AT,Hyderabad,2014,44600,First,23.1,998.0,67.04,5.0,4.78 Lakh,4.55,4.78,False,True,False,11,0.19696969696969696
783,Mercedes-Benz A Class A180 CDI,Mumbai,2013,37000,First,20.0,2143.0,107.3,5.0,4.78 Lakh,14.0,4.78,False,False,False,12,0.7
784,Hyundai Creta 1.6 SX,Ahmedabad,2016,21000,First,15.8,1591.0,121.3,5.0,13.74 Lakh,10.9,13.74,False,True,True,9,0.689873417721519
785,Maruti Wagon R VXI BS IV,Bangalore,2010,81245,First,18.9,998.0,67.1,5.0,4.78 Lakh,2.45,4.78,False,True,True,15,0.12962962962962965
786,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Delhi,2013,70000,First,10.0,2148.0,170.0,5.0,4.78 Lakh,15.8,4.78,False,False,False,12,1.58
787,Ford EcoSport 1.5 Ti VCT MT Titanium BE,Mumbai,2017,4018,First,18.88,1499.0,110.4,5.0,4.78 Lakh,8.25,4.78,False,True,True,8,0.4369703389830509
788,Renault Koleos 2.0 Diesel,Delhi,2013,70000,Second,13.73,1995.0,148.0,5.0,4.78 Lakh,8.5,4.78,False,False,False,12,0.6190823015294974
789,Mahindra XUV500 W10 2WD,Coimbatore,2016,56532,First,16.0,2179.0,140.0,7.0,4.78 Lakh,15.54,4.78,False,False,True,9,0.97125
790,Maruti Omni E 8 Str STD,Hyderabad,2013,26875,First,16.8,796.0,34.2,8.0,4.78 Lakh,2.35,4.78,False,True,True,12,0.13988095238095238
791,Maruti Wagon R VXI,Coimbatore,2015,72599,First,22.5,998.0,67.04,5.0,5.72 Lakh,4.32,5.72,False,True,True,10,0.192
792,Ford Endeavour XLT TDCi 4X2,Jaipur,2008,205000,Second,13.1,2499.0,141.0,7.0,4.78 Lakh,3.9,4.78,False,False,True,17,0.29770992366412213
793,Hyundai Verna 1.6 SX,Hyderabad,2011,98000,Second,22.32,1582.0,126.32,5.0,4.78 Lakh,5.2,4.78,False,False,True,14,0.23297491039426524
794,Hyundai i20 Magna 1.2,Mumbai,2018,19500,First,18.6,1197.0,81.83,5.0,4.78 Lakh,5.85,4.78,False,True,True,7,0.314516129032258
795,Maruti Ertiga ZXI,Bangalore,2013,68000,Second,16.02,1373.0,93.7,7.0,4.78 Lakh,6.25,4.78,False,True,True,12,0.39013732833957554
796,Mahindra XUV500 W9 AT,Coimbatore,2019,19654,First,14.0,2179.0,155.0,7.0,21.33 Lakh,17.63,21.33,False,False,False,6,1.2592857142857141
797,Maruti SX4 S Cross DDiS 200 Zeta,Mumbai,2017,26000,First,23.65,1248.0,88.5,5.0,4.78 Lakh,9.75,4.78,False,False,True,8,0.41226215644820297
798,Mercedes-Benz SLK-Class SLK 350,Bangalore,2015,10000,First,18.1,3498.0,306.0,2.0,4.78 Lakh,55.0,4.78,False,True,False,10,3.038674033149171
799,Volkswagen Polo Diesel Comfortline 1.2L,Hyderabad,2011,75020,First,22.07,1199.0,73.9,5.0,4.78 Lakh,4.1,4.78,False,False,True,14,0.18577254191209785
800,Toyota Fortuner 4x4 MT,Hyderabad,2011,157000,First,12.55,2982.0,168.5,7.0,4.78 Lakh,11.99,4.78,False,False,True,14,0.9553784860557769
801,Mahindra XUV500 W10 2WD,Kochi,2017,43773,First,16.0,2179.0,140.0,7.0,4.78 Lakh,13.54,4.78,False,False,True,8,0.84625
802,Mercedes-Benz GLE 250d,Mumbai,2016,21000,First,17.9,2143.0,201.15,5.0,78.76 Lakh,56.0,78.76,False,False,False,9,3.128491620111732
803,Honda Jazz 1.2 VX i VTEC,Chennai,2016,23280,First,18.7,1199.0,88.7,5.0,4.78 Lakh,6.5,4.78,False,True,True,9,0.34759358288770054
804,Maruti Swift Dzire VDI,Pune,2013,88000,First,23.4,1248.0,74.0,5.0,4.78 Lakh,4.75,4.78,False,False,True,12,0.202991452991453
805,Hyundai Verna 1.6 SX VTVT,Hyderabad,2014,67000,First,17.01,1591.0,121.3,5.0,4.78 Lakh,5.6,4.78,False,True,True,11,0.3292181069958847
806,Ford Endeavour 3.2 Titanium AT 4X4,Coimbatore,2017,59636,First,10.91,3198.0,197.0,7.0,4.78 Lakh,29.2,4.78,False,False,False,8,2.676443629697525
807,Hyundai i20 1.2 Asta Option,Kolkata,2018,11000,First,18.6,1197.0,81.83,5.0,4.78 Lakh,6.35,4.78,False,True,True,7,0.34139784946236557
808,Honda City 1.5 V MT Sunroof,Mumbai,2013,60669,First,16.8,1497.0,116.3,5.0,4.78 Lakh,4.95,4.78,False,True,True,12,0.29464285714285715
809,Honda Amaze VX Diesel,Hyderabad,2018,12000,First,27.4,1498.0,98.6,5.0,10.34 Lakh,8.5,10.34,False,False,True,7,0.3102189781021898
810,Hyundai Verna 1.6 SX VTVT (O),Kolkata,2013,35000,First,17.1,1591.0,121.3,5.0,4.78 Lakh,4.5,4.78,False,True,True,12,0.2631578947368421
811,Honda Mobilio S i DTEC,Chennai,2015,65000,First,24.2,1498.0,98.6,7.0,4.78 Lakh,5.5,4.78,False,False,True,10,0.2272727272727273
812,Maruti Ertiga ZDI,Kochi,2013,39929,First,20.77,1248.0,88.8,7.0,4.78 Lakh,6.56,4.78,False,False,True,12,0.31584015406836785
813,Maruti Alto K10 LXI,Pune,2014,49000,First,24.07,998.0,67.1,5.0,4.29 Lakh,2.3,4.29,False,True,True,11,0.09555463232239302
814,Toyota Qualis FS B2,Pune,2004,77757,Second,13.1,2446.0,75.0,10.0,4.78 Lakh,3.5,4.78,False,False,True,21,0.26717557251908397
815,Hyundai i10 Sportz,Kochi,2016,21456,First,20.36,1197.0,78.9,5.0,4.78 Lakh,4.55,4.78,False,True,True,9,0.22347740667976423
816,Skoda Laura 1.9 TDI AT Ambiente,Bangalore,2009,74000,Second,17.0,1896.0,105.0,5.0,4.78 Lakh,7.75,4.78,False,False,False,16,0.45588235294117646
817,Hyundai i20 Asta Option 1.2,Mumbai,2015,37000,Second,18.6,1197.0,81.83,5.0,4.78 Lakh,5.25,4.78,False,True,True,10,0.282258064516129
818,BMW 5 Series 2003-2012 530d Highline,Coimbatore,2013,108640,First,11.5,2993.0,235.0,5.0,4.78 Lakh,23.29,4.78,False,False,False,12,2.0252173913043476
819,BMW 3 Series 320d M Sport,Mumbai,2016,38000,First,22.69,1995.0,190.0,5.0,4.78 Lakh,23.99,4.78,False,False,False,9,1.0572939620978403
820,Chevrolet Aveo 1.4 LT ABS BSIV,Pune,2010,80000,First,14.49,1399.0,92.7,5.0,4.78 Lakh,1.79,4.78,False,True,True,15,0.12353347135955832
821,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Mumbai,2011,47000,Second,14.21,2143.0,203.0,5.0,4.78 Lakh,13.9,4.78,False,False,False,14,0.9781843771991555
822,Audi A6 2011-2015 2.0 TDI Premium Plus,Kolkata,2013,31000,First,17.68,1968.0,174.33,5.0,4.78 Lakh,18.95,4.78,False,False,False,12,1.0718325791855203
823,Maruti Wagon R LXI BS IV,Kolkata,2014,40000,First,20.51,998.0,67.04,5.0,4.78 Lakh,2.49,4.78,False,True,True,11,0.12140419307654803
824,Renault KWID RXT,Jaipur,2016,4152,First,25.17,799.0,53.3,5.0,4.78 Lakh,3.15,4.78,False,True,True,9,0.12514898688915374
825,Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,First,21.66,1498.0,108.62,5.0,10.04 Lakh,6.45,10.04,False,False,True,8,0.29778393351800553
826,Volkswagen Polo Diesel Comfortline 1.2L,Ahmedabad,2013,55000,First,22.07,1199.0,73.9,5.0,4.78 Lakh,4.25,4.78,False,False,True,12,0.19256909832351607
827,Maruti Alto 800 LXI,Hyderabad,2014,58500,First,22.74,796.0,47.3,5.0,4.78 Lakh,2.75,4.78,False,True,True,11,0.12093227792436237
828,Hyundai i20 Asta Option 1.2,Kochi,2017,58620,First,18.6,1197.0,81.83,5.0,4.78 Lakh,7.14,4.78,False,True,True,8,0.38387096774193546
830,Hyundai i20 1.2 Sportz,Jaipur,2012,71172,Third,17.0,1197.0,80.0,5.0,4.78 Lakh,3.5,4.78,False,True,True,13,0.20588235294117646
831,Hyundai i20 1.4 Asta,Chennai,2017,12000,First,22.54,1396.0,88.73,5.0,4.78 Lakh,7.3,4.78,False,False,True,8,0.323868677905945
832,Maruti Wagon R LXI Optional,Kolkata,2014,25000,First,20.51,998.0,67.04,5.0,4.78 Lakh,2.75,4.78,False,True,True,11,0.1340809361287177
833,Hyundai i20 1.4 Asta Option,Bangalore,2017,43000,Second,22.54,1396.0,88.73,5.0,4.78 Lakh,8.2,4.78,False,False,True,8,0.36379769299023956
834,Volkswagen Polo GT TSI,Mumbai,2015,57022,First,17.21,1197.0,103.6,5.0,4.78 Lakh,6.51,4.78,False,True,False,10,0.378268448576409
835,Ford Figo Diesel Titanium,Pune,2015,92000,First,20.0,1399.0,68.05,5.0,4.78 Lakh,4.25,4.78,False,False,True,10,0.2125
836,Maruti Swift ZXI,Coimbatore,2014,33372,Second,18.6,1197.0,85.8,5.0,4.78 Lakh,6.21,4.78,False,True,True,11,0.3338709677419355
837,Hyundai Grand i10 CRDi Magna,Kochi,2016,52625,First,24.0,1120.0,70.0,5.0,4.78 Lakh,4.58,4.78,False,False,True,9,0.19083333333333333
838,Mahindra Xylo H4,Chennai,2016,215000,First,14.02,2179.0,118.3,7.0,11.67 Lakh,7.5,11.67,False,False,True,9,0.5349500713266762
840,Hyundai i10 Magna 1.1,Coimbatore,2014,60138,First,19.81,1086.0,68.05,5.0,4.78 Lakh,4.09,4.78,False,True,True,11,0.20646138313982837
841,Skoda Octavia Elegance 2.0 TDI AT,Mumbai,2014,84000,First,19.3,1968.0,141.0,5.0,4.78 Lakh,10.75,4.78,False,False,False,11,0.5569948186528497
842,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2014,47000,First,15.97,2993.0,258.0,7.0,4.78 Lakh,41.5,4.78,False,False,False,11,2.598622417031935
843,Maruti Celerio VXI AT,Hyderabad,2014,33450,First,23.1,998.0,67.04,5.0,4.78 Lakh,4.4,4.78,False,True,False,11,0.1904761904761905
844,Volkswagen Vento Diesel Comfortline,Jaipur,2013,125000,Second,20.54,1598.0,103.6,5.0,4.78 Lakh,6.25,4.78,False,False,True,12,0.30428432327166505
845,BMW 3 Series 320d Highline,Pune,2011,99606,Second,16.07,1995.0,181.0,5.0,4.78 Lakh,10.5,4.78,False,False,False,14,0.6533914125700062
846,Maruti Ertiga ZDI,Mumbai,2014,64000,First,20.77,1248.0,88.8,7.0,4.78 Lakh,7.25,4.78,False,False,True,11,0.3490611458834858
847,Ford Figo Diesel ZXI,Hyderabad,2013,51000,First,20.0,1399.0,68.05,5.0,4.78 Lakh,3.2,4.78,False,False,True,12,0.16
848,Volkswagen Polo 1.2 MPI Highline,Mumbai,2014,57000,First,16.47,1198.0,74.0,5.0,4.78 Lakh,3.95,4.78,False,True,True,11,0.2398299939283546
849,Audi A6 3.0 TDI quattro,Coimbatore,2009,48040,Second,16.77,2967.0,241.38,5.0,4.78 Lakh,12.07,4.78,False,False,False,16,0.7197376267143709
850,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43200,First,13.68,2393.0,147.8,7.0,25.52 Lakh,18.6,25.52,False,False,True,8,1.3596491228070178
851,Hyundai Verna 1.6 CRDi EX AT,Delhi,2013,66000,First,22.32,1582.0,126.3,5.0,4.78 Lakh,5.7,4.78,False,False,False,12,0.2553763440860215
852,Hyundai Santro Xing GL Plus,Kolkata,2013,31000,First,17.92,1086.0,62.1,5.0,4.78 Lakh,1.75,4.78,False,True,True,12,0.09765624999999999
853,Audi A4 2.0 TDI,Delhi,2011,46000,Second,16.55,1968.0,147.51,5.0,4.78 Lakh,10.99,4.78,False,False,False,14,0.66404833836858
854,Audi A4 2.0 TDI,Kolkata,2012,47346,First,16.55,1968.0,147.51,5.0,4.78 Lakh,14.5,4.78,False,False,False,13,0.8761329305135951
855,Skoda Laura 1.9 TDI MT Ambiente,Jaipur,2009,100000,First,17.0,1896.0,105.0,5.0,4.78 Lakh,3.11,4.78,False,False,True,16,0.18294117647058822
856,Honda CR-V 2.0L 2WD AT,Coimbatore,2015,63856,First,13.7,1997.0,153.86,5.0,4.78 Lakh,13.96,4.78,False,True,False,10,1.0189781021897812
857,Hyundai Verna 1.6 SX CRDi (O),Coimbatore,2015,72996,First,22.32,1582.0,126.32,5.0,4.78 Lakh,7.11,4.78,False,False,True,10,0.3185483870967742
858,Honda Mobilio RS i DTEC,Chennai,2014,23000,First,24.5,1498.0,98.6,7.0,4.78 Lakh,6.9,4.78,False,False,True,11,0.2816326530612245
859,Hyundai i20 1.2 Asta Option,Coimbatore,2018,15985,First,18.6,1197.0,81.83,5.0,4.78 Lakh,7.77,4.78,False,True,True,7,0.4177419354838709
860,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Kolkata,2011,98000,Second,12.8,2494.0,102.0,8.0,4.78 Lakh,5.5,4.78,False,False,True,14,0.4296875
861,Hyundai i20 Magna 1.2,Hyderabad,2014,70089,First,18.6,1197.0,81.83,5.0,4.78 Lakh,5.35,4.78,False,True,True,11,0.2876344086021505
862,Mahindra Bolero VLX BS IV,Chennai,2011,99000,Second,13.6,2523.0,63.0,7.0,4.78 Lakh,4.5,4.78,False,False,True,14,0.33088235294117646
863,Volkswagen Vento 1.5 TDI Comfortline,Jaipur,2014,72000,First,20.34,1498.0,103.2,5.0,4.78 Lakh,4.75,4.78,False,False,True,11,0.2335299901671583
864,Jaguar XF 2.2 Litre Luxury,Coimbatore,2015,44194,First,16.36,2179.0,187.7,5.0,4.78 Lakh,32.8,4.78,False,False,False,10,2.004889975550122
865,Maruti Zen LXi - BS III,Mumbai,2005,102000,First,17.3,993.0,60.0,5.0,4.78 Lakh,0.7,4.78,False,True,True,20,0.040462427745664734
866,Mercedes-Benz E-Class Facelift,Coimbatore,2018,56652,First,13.0,2987.0,258.0,5.0,4.78 Lakh,50.29,4.78,False,False,False,7,3.8684615384615384
867,Toyota Fortuner 3.0 Diesel,Mumbai,2010,41650,Second,11.5,2982.0,171.0,7.0,4.78 Lakh,10.99,4.78,False,False,True,15,0.9556521739130435
868,Hyundai Grand i10 AT Asta,Coimbatore,2015,61717,First,18.9,1197.0,82.0,5.0,4.78 Lakh,5.57,4.78,False,True,False,10,0.29470899470899475
869,Hyundai Xcent 1.2 CRDi S,Jaipur,2018,25302,First,25.4,1186.0,73.97,5.0,8.56 Lakh,5.9,8.56,False,False,True,7,0.23228346456692917
870,Hyundai Creta 1.6 VTVT S,Coimbatore,2016,47016,First,15.29,1591.0,121.3,5.0,4.78 Lakh,9.43,4.78,False,True,True,9,0.6167429692609548
871,Hyundai i10 Sportz,Bangalore,2010,69000,First,20.36,1197.0,78.9,5.0,4.78 Lakh,2.9,4.78,False,True,True,15,0.14243614931237722
872,Honda Brio S MT,Delhi,2016,32700,First,19.4,1198.0,86.8,5.0,4.78 Lakh,3.68,4.78,False,True,True,9,0.18969072164948456
873,Toyota Fortuner 4x2 AT,Coimbatore,2015,101337,First,12.55,2982.0,168.5,7.0,4.78 Lakh,21.67,4.78,False,False,False,10,1.7266932270916335
874,Audi A4 2.0 TDI Multitronic,Ahmedabad,2011,59000,First,16.55,1968.0,140.0,5.0,4.78 Lakh,12.5,4.78,False,False,False,14,0.755287009063444
875,Toyota Innova Crysta 2.8 ZX AT,Kochi,2018,41736,First,11.36,2755.0,171.5,7.0,27 Lakh,19.92,27.0,False,False,False,7,1.7535211267605637
876,Honda City i DTEC VX,Jaipur,2014,71649,First,25.1,1498.0,98.6,5.0,4.78 Lakh,6.75,4.78,False,False,True,11,0.2689243027888446
877,Honda City i DTEC VX,Kochi,2015,80606,First,25.1,1498.0,98.6,5.0,4.78 Lakh,6.96,4.78,False,False,True,10,0.27729083665338644
878,Renault KWID 1.0 RXT Optional,Jaipur,2017,63262,First,21.7,999.0,67.0,5.0,4.78 Lakh,3.25,4.78,False,True,True,8,0.14976958525345624
879,Maruti Swift DDiS ZDI Plus,Hyderabad,2018,5456,First,28.4,1248.0,74.0,5.0,4.78 Lakh,8.65,4.78,False,False,True,7,0.30457746478873243
880,Maruti Celerio VXI Optional AMT,Pune,2017,7500,First,23.1,998.0,67.04,5.0,6.14 Lakh,5.0,6.14,False,True,False,8,0.21645021645021645
881,Mahindra XUV500 W8 2WD,Delhi,2011,66000,First,15.1,2179.0,140.0,7.0,4.78 Lakh,5.5,4.78,False,False,True,14,0.3642384105960265
882,Hyundai i10 Magna,Jaipur,2010,66770,Second,20.36,1197.0,78.9,5.0,4.78 Lakh,2.6,4.78,False,True,True,15,0.12770137524557956
883,Hyundai i10 Magna 1.1,Kochi,2014,58472,First,19.81,1086.0,68.05,5.0,4.78 Lakh,3.41,4.78,False,True,True,11,0.17213528520949017
884,Maruti Dzire VXI,Kolkata,2011,46687,First,22.0,1197.0,81.8,5.0,7.3 Lakh,2.7,7.3,False,True,True,14,0.12272727272727274
885,Maruti Grand Vitara AT,Chennai,2008,77000,Fourth & Above,9.7,1995.0,163.5,5.0,4.78 Lakh,5.5,4.78,False,True,False,17,0.5670103092783506
886,Audi TT 40 TFSI,Kolkata,2012,7000,First,14.33,1984.0,226.6,4.0,4.78 Lakh,35.0,4.78,False,True,False,13,2.4424284717376135
887,Mercedes-Benz New C-Class C 200 CGI,Mumbai,2011,48000,Second,14.74,1991.0,184.0,5.0,4.78 Lakh,9.75,4.78,False,True,False,14,0.6614654002713705
888,Nissan Sunny 2011-2014 Diesel XV,Mumbai,2013,47000,First,21.64,1461.0,84.8,5.0,4.78 Lakh,4.25,4.78,False,False,True,12,0.1963955637707948
889,Maruti Wagon R LXI,Ahmedabad,2015,51530,First,18.9,998.0,67.1,5.0,4.78 Lakh,3.2,4.78,False,True,True,10,0.16931216931216933
890,Maruti Swift Dzire ZDI,Bangalore,2014,25789,Second,23.4,1248.0,74.0,5.0,4.78 Lakh,6.85,4.78,False,False,True,11,0.29273504273504275
891,Honda Amaze S i-Dtech,Delhi,2015,48000,First,25.8,1498.0,98.6,5.0,4.78 Lakh,4.5,4.78,False,False,True,10,0.1744186046511628
892,Maruti Swift ZDI,Delhi,2012,52000,First,28.4,1248.0,74.0,5.0,4.78 Lakh,3.55,4.78,False,False,True,13,0.125
894,Mahindra Scorpio LX 2.6 Turbo,Hyderabad,2008,131000,First,10.5,2609.0,120.0,7.0,4.78 Lakh,3.6,4.78,False,False,True,17,0.34285714285714286
895,Mercedes-Benz E-Class E250 CDI Avantgrade,Kochi,2015,42076,First,13.0,2143.0,201.1,5.0,4.78 Lakh,21.8,4.78,False,False,False,10,1.676923076923077
896,Toyota Fortuner 4x2 Manual,Mumbai,2012,76000,Second,13.0,2982.0,168.5,7.0,4.78 Lakh,13.5,4.78,False,False,True,13,1.0384615384615385
897,Datsun redi-GO T Option,Bangalore,2016,20487,First,22.7,799.0,53.64,5.0,4.37 Lakh,2.66,4.37,False,True,True,9,0.11718061674008812
898,Honda City V MT,Delhi,2010,43000,Second,16.8,1497.0,116.3,5.0,4.78 Lakh,3.75,4.78,False,True,True,15,0.2232142857142857
899,Toyota Camry Hybrid,Pune,2018,17000,First,19.16,2494.0,158.2,5.0,4.78 Lakh,32.0,4.78,False,True,False,7,1.6701461377870563
900,Honda City i DTec V,Coimbatore,2016,60805,First,26.0,1498.0,98.6,5.0,4.78 Lakh,8.07,4.78,False,False,True,9,0.31038461538461537
901,Volkswagen Jetta 2012-2014 2.0L TDI Trendline,Kochi,2012,58775,First,19.33,1968.0,138.1,5.0,4.78 Lakh,5.64,4.78,False,False,True,13,0.2917744438696327
902,Audi A6 2011-2015 2.0 TDI,Hyderabad,2013,70181,First,17.68,1968.0,174.33,5.0,4.78 Lakh,23.99,4.78,False,False,False,12,1.3569004524886876
903,Maruti Ertiga VDI,Coimbatore,2016,85827,First,20.77,1248.0,88.76,7.0,4.78 Lakh,7.5,4.78,False,False,True,9,0.36109773712084736
904,Mercedes-Benz New C-Class C 220 CDI Style,Jaipur,2016,58205,First,19.27,2143.0,167.62,5.0,4.78 Lakh,27.0,4.78,False,False,False,9,1.401141670991178
905,Maruti Swift Dzire Vdi BSIV,Mumbai,2008,91000,Second,19.3,1248.0,73.9,5.0,4.78 Lakh,2.85,4.78,False,False,True,17,0.14766839378238342
906,Renault Duster 110PS Diesel RxZ Pack,Pune,2012,74000,First,19.01,1461.0,108.45,5.0,4.78 Lakh,6.35,4.78,False,False,True,13,0.33403471856917405
907,Maruti Ritz VDi,Hyderabad,2010,79324,First,21.1,1248.0,73.9,5.0,4.78 Lakh,3.3,4.78,False,False,True,15,0.15639810426540282
908,Maruti Swift Dzire VXI,Bangalore,2013,38623,First,19.1,1197.0,85.8,5.0,4.78 Lakh,5.0,4.78,False,True,True,12,0.2617801047120419
909,Maruti Swift ZDi,Coimbatore,2014,59923,First,22.9,1248.0,74.0,5.0,4.78 Lakh,6.46,4.78,False,False,True,11,0.28209606986899566
910,Hyundai EON Sportz,Jaipur,2017,23360,First,21.1,814.0,55.2,5.0,4.78 Lakh,3.75,4.78,False,True,True,8,0.1777251184834123
911,Maruti Zen VXI BSII,Kochi,2003,61495,Third,17.3,993.0,60.0,5.0,4.78 Lakh,1.52,4.78,False,True,True,22,0.08786127167630058
912,Maruti Eeco 7 Seater Standard,Coimbatore,2012,56661,First,15.1,1196.0,73.0,7.0,4.98 Lakh,3.61,4.98,False,True,True,13,0.2390728476821192
913,Audi Q5 30 TDI quattro Premium,Coimbatore,2017,40318,First,14.16,1968.0,174.3,5.0,4.78 Lakh,43.74,4.78,False,False,False,8,3.0889830508474576
914,Audi Q3 2.0 TDI,Chennai,2014,60000,First,15.73,1968.0,174.33,5.0,4.78 Lakh,20.0,4.78,False,False,False,11,1.2714558169103622
916,Maruti Swift Dzire VDi,Hyderabad,2010,130000,First,19.3,1248.0,73.9,5.0,4.78 Lakh,3.65,4.78,False,False,True,15,0.18911917098445594
917,Tata Sumo DX,Mumbai,2013,20000,First,14.07,1978.0,83.1,10.0,4.78 Lakh,5.25,4.78,False,False,True,12,0.3731343283582089
918,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Hyderabad,2016,76000,First,15.97,2993.0,258.0,7.0,4.78 Lakh,58.0,4.78,False,False,False,9,3.6318096430807763
919,Honda City i-VTEC CVT VX,Mumbai,2015,30000,First,18.0,1497.0,117.3,5.0,15.29 Lakh,8.65,15.29,False,True,False,10,0.48055555555555557
920,Tata Indigo eCS eLX BS IV,Delhi,2015,150000,First,25.0,1396.0,69.01,5.0,4.78 Lakh,2.5,4.78,False,False,True,10,0.1
921,Volkswagen Vento TSI,Chennai,2014,28000,First,16.93,1197.0,103.6,5.0,4.78 Lakh,7.75,4.78,False,True,False,11,0.45776727702303605
922,Maruti Celerio VXI,Bangalore,2015,74000,First,23.1,998.0,67.04,5.0,4.78 Lakh,4.15,4.78,False,True,True,10,0.17965367965367965
923,Toyota Fortuner 3.0 Diesel,Delhi,2011,75000,First,11.5,2982.0,171.0,7.0,4.78 Lakh,10.85,4.78,False,False,True,14,0.9434782608695652
924,Mitsubishi Outlander 2.4,Delhi,2010,76000,Second,11.3,2360.0,170.0,5.0,4.78 Lakh,5.53,4.78,False,True,False,15,0.4893805309734513
925,Volkswagen Jetta 2007-2011 1.9 Highline TDI,Pune,2014,64889,First,15.5,1896.0,105.0,5.0,4.78 Lakh,11.5,4.78,False,False,False,11,0.7419354838709677
927,Hyundai Creta 1.6 CRDi SX,Kolkata,2015,43000,First,19.67,1582.0,126.2,5.0,4.78 Lakh,9.25,4.78,False,False,True,10,0.4702592780884595
928,Skoda Fabia 1.2 MPI Ambiente Petrol,Pune,2011,47490,First,17.5,1198.0,75.0,5.0,4.78 Lakh,2.29,4.78,False,True,True,14,0.13085714285714287
929,Ford EcoSport 1.5 TDCi Titanium,Chennai,2015,80000,First,22.77,1498.0,98.59,5.0,4.78 Lakh,7.0,4.78,False,False,True,10,0.30742204655248134
930,Maruti Zen Estilo 1.1 LXI BSIII,Bangalore,2007,60000,Second,18.2,1061.0,64.0,5.0,4.78 Lakh,1.65,4.78,False,True,True,18,0.09065934065934066
931,Maruti Ciaz 1.4 Delta,Ahmedabad,2017,6006,First,20.73,1373.0,91.1,5.0,4.78 Lakh,8.25,4.78,False,True,True,8,0.3979739507959479
932,Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Kochi,2011,71703,First,14.74,1991.0,181.03,5.0,4.78 Lakh,9.14,4.78,False,True,False,14,0.6200814111261873
933,Honda Amaze SX i-VTEC,Hyderabad,2016,33000,First,17.8,1198.0,86.7,5.0,4.78 Lakh,6.5,4.78,False,True,True,9,0.3651685393258427
935,Renault Duster 85PS Diesel RxL,Jaipur,2015,91000,First,19.87,1461.0,83.8,5.0,4.78 Lakh,5.75,4.78,False,False,True,10,0.2893809763462506
937,Volkswagen Polo Petrol Highline 1.2L,Kolkata,2011,43000,Second,16.47,1198.0,73.9,5.0,4.78 Lakh,2.1,4.78,False,True,True,14,0.12750455373406194
938,Hyundai Creta 1.6 SX Plus Diesel,Coimbatore,2017,63770,First,19.67,1582.0,126.2,5.0,4.78 Lakh,13.55,4.78,False,False,True,8,0.6888662938485002
939,Jaguar XF Diesel,Kolkata,2012,43510,First,14.74,2993.0,270.9,5.0,4.78 Lakh,20.5,4.78,False,False,False,13,1.3907734056987788
940,Jeep Compass 2.0 Limited 4X4,Mumbai,2017,52000,First,16.3,1956.0,170.0,5.0,24.26 Lakh,20.0,24.26,False,False,True,8,1.2269938650306749
941,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,First,15.68,1999.0,177.0,5.0,75.12 Lakh,59.72,75.12,False,False,False,7,3.808673469387755
942,Maruti Baleno Alpha Diesel,Kolkata,2016,29000,First,27.39,1248.0,74.0,5.0,9.53 Lakh,6.5,9.53,False,False,True,9,0.23731288791529756
943,Maruti Ciaz ZDi SHVS,Ahmedabad,2016,56000,First,28.09,1248.0,88.5,5.0,4.78 Lakh,7.5,4.78,False,False,True,9,0.266998932004272
944,Maruti SX4 Vxi BSIII,Jaipur,2007,76000,Second,15.0,1586.0,104.68,5.0,4.78 Lakh,2.15,4.78,False,True,True,18,0.14333333333333334
945,Hyundai Elantra CRDi SX,Coimbatore,2015,53615,First,22.7,1582.0,126.24,5.0,4.78 Lakh,8.44,4.78,False,False,True,10,0.37180616740088107
946,Mitsubishi Pajero Sport 4X4,Bangalore,2013,132000,First,13.5,2477.0,175.56,7.0,34.6 Lakh,12.49,34.6,False,False,True,12,0.9251851851851852
947,Volkswagen Ameo 1.2 MPI Comfortline,Pune,2017,14800,First,17.0,1198.0,73.75,5.0,4.78 Lakh,5.48,4.78,False,True,True,8,0.3223529411764706
948,Maruti Ritz VXi,Hyderabad,2013,35433,First,18.5,1197.0,85.8,5.0,4.78 Lakh,4.2,4.78,False,True,True,12,0.22702702702702704
949,Hyundai Verna CRDi SX,Hyderabad,2013,82966,First,16.8,1493.0,110.0,5.0,4.78 Lakh,7.2,4.78,False,False,True,12,0.42857142857142855
